Certus1	
3476099917	0.366768078500 0.744273088987 0.558156560119 315.714111328125 0.918561516824 -0.384775058987 -0.090514605404 -275.024902343750 0.147397138381 0.545899004388 -0.824783826590 -1710.141113281250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.366928388172 0.743896611776 0.558552941933 315.668121337891 0.918646878840 -0.384299001774 -0.091663456369 -274.573150634766 0.146463203406 0.546746841073 -0.824388513885 -1710.651977539062 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.368258808083 0.740821431348 0.561755335644 315.292663574219 0.917718242484 -0.386431603340 -0.091999148648 -273.094482421875 0.148925074053 0.549412616159 -0.822172183623 -1712.147460937500 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.369555635151 0.742653502944 0.558475072938 314.364929199219 0.916935179833 -0.388822313640 -0.089705542747 -271.632751464844 0.150527434415 0.545236630264 -0.824656600354 -1712.460693359375 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.369255622194 0.741143779061 0.560674757982 314.256103515625 0.916869608319 -0.388991218340 -0.089643479385 -270.966583251953 0.151658850121 0.547167004501 -0.823169400771 -1712.613891601562 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.367458364970 0.738893267953 0.564810666142 314.500427246094 0.917218653938 -0.388403443206 -0.088615496240 -269.775451660156 0.153897013881 0.550617384288 -0.820448782825 -1712.912231445312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.365855304361 0.736772026018 0.568609600647 314.907836914062 0.917263234703 -0.388795519402 -0.086407189256 -268.121704101562 0.157410465130 0.553177210097 -0.818056794909 -1713.772216796875 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.365087667505 0.736316728436 0.569691732836 315.139617919922 0.917290143295 -0.389037187713 -0.085022700440 -267.346099853516 0.159027632975 0.553613350636 -0.817448756772 -1714.343139648437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.363987452242 0.735192995761 0.571842979842 315.908477783203 0.917483190270 -0.388766579796 -0.084173285580 -266.228942871094 0.160429829464 0.555294341244 -0.816033372112 -1714.830200195312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.363126914540 0.734550577832 0.573214002397 316.358032226562 0.917996745381 -0.387328195105 -0.085198854144 -266.548065185547 0.159439077415 0.557146585634 -0.814964332170 -1715.200683593750 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.363456852571 0.734465323545 0.573114128973 316.386352539062 0.917955557784 -0.387287341817 -0.085826038014 -266.549987792969 0.158923598789 0.557287361581 -0.814968764046 -1715.311645507812 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.364559903334 0.733842440697 0.573211434911 315.932281494141 0.917410836091 -0.388521422818 -0.086072422032 -265.662658691406 0.159541326006 0.557248935614 -0.814874339425 -1715.255004882812 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.365058527967 0.734073653650 0.572597714086 315.677856445312 0.917188181108 -0.389071800715 -0.085959143339 -265.523071289062 0.159681281289 0.556559974222 -0.815317658033 -1715.106811523437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.364863229536 0.733170017177 0.573878514710 315.438690185547 0.917202710313 -0.388987685586 -0.086184503572 -265.560638427734 0.160043781281 0.557808485392 -0.814392830088 -1714.805297851562 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099917	0.364835150070 0.732373498526 0.574912490672 315.310516357422 0.917193011506 -0.388916432715 -0.086608244459 -265.441101074219 0.160163332000 0.558903450537 -0.813618239754 -1714.658203125000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
